ID,角色名,描述,稀有度,定位,强项,基础HP,基础ATK,基础DEF,基础SKL,基础SPD,成长HP,成长ATK,成长DEF,成长SKL,成长SPD,满级HP,满级ATK,满级DEF,满级SKL,满级SPD
19,克莱尔,克莱尔 lv160 全名克莱尔·雷德菲尔德，一名大学生，来浣市寻找哥哥克里斯·雷德菲尔德， 是史上最,4,平衡型,无,20,10,6,4,5,2.5,2.5,2.5,2.0,2.0,267,257,253,202,203
20,克雷伊,克雷伊 lv200 后来才加入方舟啦啦队倒带部队的新成员。 对贝伊非常尊敬且向往。 节奏感不强，但引,4,攻击型,ATK+/SPD+,24,14,6,5,7,3.2,3.8,2.5,2.2,2.8,340,390,253,222,284
21,坎西,坎西 lv200 越狱之王。无论被关在何处，都能逃脱。 凭借其出色的交际和政治能力，成为更生馆著名的,4,技巧型,SKL+/SPD+,18,10,5,5,5,2.8,2.8,2.0,2.5,2.5,295,287,203,252,252
22,基里,隶属于ACPU部队的妮姬。行政工作处理能力出色， 但却视力低下，总是无意间造成各种事故。,4,防御型,HP+/DEF+,28,10,9,5,4,3.5,3.0,2.8,2.5,2.0,374,307,286,252,202
23,娜嘉,娜嘉 lv200 她是毕业班耀眼珍珠部队的精神支柱。 像姐姐一样一直照顾着总是丢三落四的蒂亚。 平时,4,技巧型,SKL+/SPD+,20,11,5,6,8,3.2,3.0,2.2,2.5,3.0,336,308,222,253,305
24,哈兰,哈兰 lv200 隶属于继承者部队的妮姬。 被誉为地面掠食者的美丽魔女。 能自由驱使巨大镰刀与机械乌,4,攻击型,ATK+/SKL+,24,13,7,7,5,3.5,3.8,2.8,2.5,2.2,370,389,284,254,222
25,小红帽,最晚加入女神部队的童话型号。喜欢听老音乐、个性豪爽的妮姬。她的红色头发，红色围巾，红色外套让人印象深,4,速度型,SPD+/ATK+,20,12,5,6,9,3.2,3.2,2.5,2.5,3.5,336,328,252,253,355
26,帕斯卡,"爱好和平的机械生命体。
它拥有高度智慧，且性格温和有礼。",4,技巧型,SKL+/ATK+,22,13,6,6,6,3.0,3.5,2.5,3.0,2.5,319,359,253,303,253
27,德尔塔,"侦察者部队的队长。
战术灵活的模范军人。",4,攻击型,ATK+/SKL+,22,13,6,7,6,3.2,3.5,2.0,3.0,2.5,338,359,204,304,253
28,拉姆,"在罗兹瓦尔宅邸工作的双胞胎女仆中的姐姐。
过去曾被誉为鬼族的神童，拥有无与伦比的力量，
但在失去角的",4,防御型,HP+/DEF+,22,9,7,4,4,3.0,2.2,2.5,1.8,1.8,319,226,254,182,182
29,拉普拉斯,拉普拉斯 lv200 米西利斯最强部队墨提斯的队长。 自诣为方舟英雄，也拥有名副其实的力量。 10.,4,攻击型,ATK+/SKL+,22,13,7,8,7,3.2,3.8,2.8,3.0,2.0,338,389,284,305,205
30,明日香,明日香 lv200 全名：式波·明日香·兰格雷。福音战士二号机驾驶员。拥有德国血统。 性格强势、不服,5,攻击型,ATK+/SKL+,26,15,7,9,6,3.7,4.3,2.6,2.8,2.5,392,440,264,286,253
31,普丽瓦蒂,"总是装做不在乎，但其实很照顾同伴们的少女。
是三角部队王牌。",4,技巧型,SKL+/ATK+,22,12,6,8,5,3.2,3.5,2.5,3.2,2.2,338,358,253,324,222
32,普琳玛,"咖啡厅甜心部队的队长。
非常懒惰，但也因此追求最有效的方法。
负责贩售奶油咖啡。",4,速度型,SPD+/ATK+,22,12,5,6,8,3.0,3.2,2.2,2.5,3.2,319,328,222,253,324
33,朵拉,"杰出的企业家。
有传闻指出她是大型黑市交易网站的VVIP。
是达兰特部队的理性担当。",4,技巧型,SKL+/ATK+,18,11,4,6,4,2.8,3.0,2.5,3.2,2.2,295,308,251,322,221
34,桃乐丝,"继承者部队的队长。
即使再号称【最强部队】的继承者部队中，她也拥有压倒性的武力。
虽然脸上总挂着",5,攻击型,ATK+/DEF+,28,16,8,7,7,4.0,4.5,3.0,2.5,2.8,424,461,305,254,284
35,桑迪,"拥有高超技术的工匠，对任何事都充满热诚。
非凡工具部队的业务负责人，丽塔的首席弟子，十分尊敬并追随",4,技巧型,SKL+/SPD+,18,10,5,6,7,2.8,2.8,2.5,3.0,2.5,295,287,252,303,254
36,灰姑娘,"作为女神部队新一代机型打造的第二代童话型号之一。虽然规格已超出女神部队，但因受到侵蚀未能投入实战。
",4,速度型,SPD+/DEF+,20,10,6,7,9,3.2,2.8,2.8,2.5,3.0,336,287,283,254,306
37,爱丽丝,"可爱的妄想家，用奇异的目光审视着世界。
在无极限部队里苦苦寻找着兔子先生的身影。",4,技巧型,SKL+/ATK+,24,11,7,7,5,3.5,3.2,2.5,3.0,2.2,370,327,254,304,222
38,白雪公主,"因为守护人类的使命感而默默在地面上游历的朝圣者。
隶属于开拓者部队，为了一己之力消灭莱撤而在地面上",4,防御型,HP+/DEF+,26,10,8,5,6,3.2,3.0,2.5,2.0,2.2,342,307,255,203,223
39,真理,"全名：真希波·真理·伊兰崔亚斯。
新角色，在《福音战士新剧场版：破》中首次登场。 详细资料不明。",5,平衡型,ATK+/DEF+,28,14,9,6,6,4.2,4.0,3.2,2.2,2.5,443,410,325,223,253
40,神罚,"单纯和蔼的人类叛徒。
被誉为女王精锐的异端者之一。",5,攻击型,ATK+/SKL+,24,15,6,9,6,3.8,4.5,2.4,2.8,2.6,400,460,243,286,263
41,米兰达,"脑袋不灵光但对任何事都充满热诚A.C.P.U部队所属尼姬。
她是监督警察的秘密监察官这件事，已经是",4,平衡型,无,18,9,5,5,5,2.5,2.5,2.2,2.5,2.2,265,256,222,252,222
42,米卡,"傻乎乎的单纯小朋友。
盲目自信唯一的好友贝洛塔。
隶属于小加农炮部队的妮姬。",4,攻击型,ATK+/ATK+,20,12,4,4,5,2.8,3.2,2.2,2.2,2.0,297,328,221,221,203
43,米哈拉,"面容清秀的被虐狂。
痛楚能让她觉得自己活着。
隶属于警备卫士部队，与同伴尤妮关系很好。",4,攻击型,ATK+/HP+,22,12,6,6,5,3.0,3.2,2.8,2.5,2.2,319,328,283,253,222
44,索拉,"隶属超地平线部队的妮姬。
担任乘务员的工作，负责机内乘客的安全。大概是为了防范各种紧急状况，
她总是",4,技巧型,SKL+/ATK+,16,10,5,6,6,2.2,2.5,2.2,2.5,2.0,233,257,222,253,204
45,索林,索林 lv200 无限轨道部队的小乘务员。总想展示自己的能力，想要装大人。充满自信，但也总是漏洞百出,4,技巧型,SKL+/ATK+,20,12,5,8,5,2.8,3.5,2.2,3.0,2.5,297,358,222,305,252
46,红莲,"沉醉于美酒与风雅，隶属于开拓者部队的流浪剑客。
所使用的剑是一种近战专用武器，但在实际战斗中毫无用处",4,速度型,SPD+/ATK+,20,11,6,6,8,2.8,3.0,2.5,2.5,3.0,297,308,253,253,305
47,美里,"全名：葛城美里。29岁。隶属于NERV战术作战部作战局。
虽然外在的言行举止像个乐天派，但也有严肃",4,攻击型,ATK+/SKL+,24,13,6,6,6,3.2,3.5,2.5,2.8,2.5,340,359,253,283,253
48,舒恩,方舟三大公司之一，米西利斯的CEO,4,技巧型,SKL+/ATK+,18,10,4,6,6,2.8,3.0,2.2,2.5,2.0,295,307,221,253,204
49,艾达,"无论身处任何严酷的环境，都不会表现出软弱的一面，是神出鬼没的特工。
偏好单独行动，一切以任务为先，不",4,速度型,SPD+/ATK+,18,11,4,5,7,2.5,3.0,2.2,2.5,3.0,265,308,221,252,304
50,艾玛,艾玛 lv200 特种部队的大姐姐。 充满舍己为人的精神，对同伴异常包容，偶尔难免也会毛毛躁躁。 3,4,攻击型,ATK+/SPD+,22,13,5,5,7,3.5,3.5,2.5,2.5,2.8,368,359,252,252,284
51,迪塞尔,"无限轨道部队的队长。
态度亲切，总是随身携带草莓糖，为迷路的乘客引导。",4,防御型,HP+/DEF+,26,10,9,5,4,3.5,3.0,3.2,2.2,1.8,372,307,325,222,182
52,银华,"傲慢而又冷漠的特种部队队长。
靠着追求完美的性格，带领特种部队取得最强的地位。",5,攻击型,ATK+/SKL+,24,14,6,8,7,4.0,4.2,2.5,3.0,2.8,420,429,253,305,284
53,长发公主,"长发公主主要能力为治疗和保存。
出于不明原因，她似乎只保留了一部分过去的记忆。
这是一位脑海中总是充",4,技巧型,SKL+/SPD+,22,11,6,8,8,3.0,3.0,2.5,3.2,3.2,319,308,253,324,324
54,阿妮斯,"在绝望的世界中，深谙生存之道的少女。
和不苟言笑的拉毗与性格跳脱的尼恩一样，是活跃反击部队气氛的成员",3,平衡型,无,20,10,6,5,5,2.5,2.5,2.5,2.0,2.0,267,257,253,203,203
55,阿尔卡娜,对外虽是隶属管理方舟图书馆热销如潮部队的妮姬， 实际上是负责管理存放敏感情报和纪录的特级机密保管所妮,4,攻击型,ATK+/SKL+,22,13,5,7,6,3.2,3.5,2.2,3.0,2.5,338,359,222,304,253
56,阿莉亚,"隶属于首席女歌手部队的歌剧歌手。
每次演出都担任主演，精彩的演出总让所有观众为她起立鼓掌，是歌剧界",5,攻击型,ATK+/DEF+,26,14,7,6,5,3.8,4.3,2.8,2.5,2.2,402,439,284,253,222
57,雷姆,"在罗兹瓦尔宅邸工作的双胞胎女仆中的妹妹。
精通所有的家务，十分敬爱双胞胎姐姐拉姆。",5,攻击型,ATK+/SKL+,24,14,6,8,6,3.8,4.2,2.5,3.2,2.5,400,429,253,324,253
58,可可,"专属女仆部队里受宠的老幺，同时也是女仆长。
她带着自己对专业的独到理解，担任着女仆的工作。",4,技巧型,SKL+/ATK+,18,11,4,6,6,2.8,3.0,2.0,3.0,2.5,295,308,202,303,253
59,吉儿,全名吉儿·瓦伦丁，是浣熊市警察特殊部队S.TA.R.S.的成员。 为人正直，富有正义感，敢于将内心想,4,速度型,SPD+/ATK+,20,11,5,5,8,2.8,3.0,2.2,2.5,3.2,297,308,222,252,324
60,吉洛,"隶属于克重部队的驾驶员，驾驶搭载高性能A.I.的机器T.A.L.O.S.。
曾待过多个部队，虽然希",4,攻击型,ATK+/DEF+,24,13,7,5,5,3.2,3.5,2.8,2.2,2.0,340,359,284,222,203
61,尤妮,"有虐待狂倾向的少女。
拥有可以控制他人感知的能力，沟通时喜欢为对方带来痛苦。隶属于警备卫士部队。",4,速度型,SPD+/SKL+,20,10,5,6,8,2.8,2.8,2.2,2.8,3.5,297,287,222,283,354
62,尤莉亚,踏上音乐之路的小提琴家。 隶属于大师之手部队，喜欢用音乐传达自己的感情。,4,攻击型,ATK+/SKL+,22,13,5,7,6,3.0,3.5,2.2,3.0,2.5,319,359,222,304,253
63,尼恩,"为火力而生，为火力而死，这个时代真正的火力狂人。
隶属于反击部队，她是间谍这件事已经成了众所周知的秘",4,技巧型,SKL+/ATK+,20,11,5,7,6,2.8,3.0,2.2,3.2,2.5,297,308,222,323,253
64,尼罗,尼罗 lv200 她是隶属于管理方舟内动物的部队——快乐动物园部队的妮姬。 因为负责照顾小猫，让她无,4,防御型,HP+/DEF+,26,10,8,5,4,3.2,2.8,2.5,2.2,1.8,342,287,255,222,182
65,布丽德,"工作狂，完美主义者，在无限轨道部队担任驾驶员。
她的驾驶能力在方舟里显然是最高超的。",4,技巧型,SKL+/ATK+,20,11,5,7,5,2.8,3.0,2.2,3.2,2.2,297,308,222,323,222
66,布兰儿,"隶属于777部队的妮姬，同时也是金币之战的招牌明星。
她非常喜欢兔女郎这个身分，并且对自己的表演能",4,攻击型,ATK+/SKL+,22,12,5,7,6,3.0,3.4,2.2,3.0,2.5,319,348,222,304,253
67,布蕾德,"食用油部队中负责试吃的妮姬。
只要品尝料理，就能指出其营养成分、材料和细微的味道。
品尝食物时，虽",4,攻击型,ATK+/SPD+,22,13,5,6,7,3.0,3.5,2.2,2.5,3.0,319,359,222,253,304
68,德雷克,"作为一个英雄却老想成为大反派。
隶属墨提斯部队的尼姬，拥有以身体感知电波的特除能力。",3,攻击型,ATK+/DEF+,24,13,7,5,5,3.2,3.6,2.8,2.2,2.0,340,369,284,222,203
69,托比,"无极限部队唯一的弱点就是不间断的装备故障，而她是作为机械师加入该部队的新人妮姬。
她有丰富的理论知",3,速度型,SPD+/ATK+,18,10,4,4,7,2.5,2.8,1.8,2.0,3.0,265,287,182,202,304
70,拉毗,"稳重的【问题少女】，总是为【什么是尼姬】而苦恼。
作为隶属于反击部队的尼姬，早已在充满个性的队友中占",4,技巧型,SKL+/ATK+,20,11,5,7,6,2.8,3.0,2.2,3.2,2.5,297,308,222,323,253
71,波莉,波莉 lv200 方舟的警察，A.C.P.U.部队的队长。 外形和性格都像只小狗，有时不够细腻，但工,4,技巧型,SKL+/SPD+,20,10,5,7,7,2.8,2.8,2.2,3.0,3.0,297,287,222,304,304
72,泷奈,全名是井之上泷奈。 原本是表现优秀的莉可丽丝，因故来到莉可莉可咖啡厅工作。 个性理性、讨厌浪费，所以,4,攻击型,ATK+/SPD+,22,13,5,6,7,3.0,3.5,2.2,2.5,3.0,319,359,222,253,304
73,海伦,宙斯盾部队队长。同时也是水路两用全能战舰【赞美号】的舰长。 期盼着能早日出海建功立业。 宙斯盾部队 ,4,技巧型,SKL+/ATK+,20,11,5,7,6,2.8,3.0,2.2,3.2,2.5,297,308,222,323,253
74,潘托姆,她白天在方舟最大的图书馆里当图书管理员，晚上却是为伸张正义惩罚恶人的怪盗。虽然她认为自己进行怪盗活动,4,攻击型,ATK+/DEF+,22,12,6,5,5,2.8,3.2,2.5,2.0,2.0,299,328,253,203,203
75,诺伊斯,诺伊斯 lv200 对每件事都全力以赴的创作歌手。 以这首迅速窜红的热门歌曲，一跃成为当红明星。隶属,4,防御型,HP+/DEF+,24,10,7,4,4,3.0,2.5,2.8,1.8,1.8,321,257,284,182,182
76,诺雅,诺雅 lv200 所有人公认的地面最强盾牌。 充当着继承者部队的铜墙铁壁，由于小小年纪就拥有惊人的力,4,攻击型,ATK+/SKL+,22,12,5,7,6,3.0,3.4,2.0,3.0,2.5,319,348,203,304,253
77,豺狼,豺狼 lv200 隶属于外来者部队的妮姬。 是克拉乌忠实的狗。 只要克拉乌一声令下，她就会随时冲锋向,4,攻击型,ATK+/SPD+,20,12,4,5,7,2.8,3.2,1.8,2.2,3.0,297,328,182,222,304
78,贝伊,"方舟的啦啦队，倒带部队的队长。
虽然患有视线恐惧症，但只要有人需要应援和鼓励的时候，就会变得非常热情",4,速度型,SPD+/SKL+,20,11,5,6,8,3.0,3.0,2.2,2.8,3.5,317,308,222,283,354
79,贝斯蒂,"胆小鬼贝斯蒂，爱哭鬼贝斯蒂。
如果只看这些绰号，很难相信贝斯蒂是奇迹部队「特种部队」的成员。
然而，",4,攻击型,ATK+/SKL+,22,12,5,7,6,3.0,3.4,2.2,3.0,2.5,319,348,222,304,253
80,贝洛塔,"隶属于小加农炮队的队长。
爱撒娇又古灵精怪，喜欢用恶作剧来捉弄别人。",4,攻击型,ATK+/DEF+,26,13,8,4,4,3.5,3.5,3.0,1.8,1.5,372,359,305,182,152
81,钟鸣,"隶属于白骑士部队的朝圣者。
奉相同部队的妮姬「皇冠」为王。
是敏捷聪慧、忠诚不渝的皇冠王国秘书。",4,防御型,HP+/DEF+,28,11,9,4,4,3.6,3.2,3.2,2.0,1.8,384,327,325,202,182
82,百合,百合 lv160 隶属第五腾空小队的工程支援人员。 与她的角色相符，精通腾空小队的机体及装备的维修保,4,速度型,SPD+/ATK+,22,12,5,6,8,3.0,3.2,2.2,2.5,3.5,319,328,222,253,354
83,特蕾娜,"隶属于植物园部队的妮姬。负责照管方舟内的所有树木。
她的个性跟一直相伴的树木一样温和成熟，但她喜欢",5,攻击型,ATK+/SKL+,24,14,6,8,6,3.5,4.0,2.5,3.2,2.5,370,410,253,324,253
84,特罗尼,"隶属于电力冲击部队的妮姬。
电力与电子工程领域的领头羊。
由于缺乏社交能力，难以与其他妮姬交流。",4,技巧型,SKL+/ATK+,22,12,6,8,6,3.0,3.2,2.5,3.5,2.5,319,328,253,354,253
85,玛奇玛,公安对魔特异四课。内阁官房长官直属的恶魔猎人。,3,防御型,HP+/DEF+,28,10,9,5,4,3.5,2.8,2.8,2.2,1.8,374,287,286,222,182
86,玛娜,玛娜 lv200 M.M.R.部队的研究员，也是隶属M.M.R.部队的妮姬。 博学多才，兼具科学家的,4,速度型,SPD+/ATK+,20,11,5,6,8,2.8,3.0,2.2,2.5,3.2,297,308,222,253,324
87,玛律恰那,"M.M.R.附属高中充满理性而又不失完美主义的老师。
一直致力于提供学生们最好的教育。
同时有着喜爱",3,技巧型,SKL+/ATK+,20,11,5,7,6,2.8,3.0,2.2,3.2,2.5,297,308,222,323,253
88,伊莱格,"隶属于电力冲击部队的妮姬。
电子产品动力源方面的专家。
兴趣是在有屏幕的所有装置上安装经典的FP",4,攻击型,ATK+/DEF+,24,13,7,5,5,3.2,3.5,2.8,2.2,2.0,340,359,284,222,203
89,吉尔提,"隶属于真善美部队的妮姬。
拥有绝对强大的臂力。
在短短两周内，她摧毁了四十几名妮姬的身体；也因为",3,平衡型,无,20,10,6,5,5,2.8,2.8,2.5,2.2,2.2,297,287,253,222,222
90,娜由塔,"悠然遨游于世的超然僧侣。
从她的言谈举止中，总能感受到闲适与从容。
虽曾是D,E.E.P,的一员，但",3,速度型,SPD+/SKL+,20,10,5,6,8,2.8,2.8,2.2,2.8,3.5,297,287,222,283,354
91,安克,"热爱海洋生物的宙斯盾部队所属妮姬，
体内搭载高性能雷达，
对赞美号的航行与战斗有巨大贡献。",3,技巧型,SKL+/ATK+,20,11,5,7,6,2.8,3.0,2.2,3.0,2.5,297,308,222,304,253
92,吉萝婷,"隶属于外界部队。
活在自己的世界里拥有孤独命运的少女。
眼罩下那双闪闪的眼睛，到底在窥探着什么呢。",5,攻击型,ATK+/SKL+,24,14,6,7,6,3.5,4.0,2.5,3.0,2.5,370,410,253,304,253
93,富克旺,"为鼓励人类参与体育运动而被制造出来的妮姬，隶属生命补药部队。
她是一位运动选手。
她喜欢运动，但超级",4,攻击型,ATK+/DEF+,26,13,7,5,5,3.4,3.6,2.8,2.2,2.0,362,369,284,222,203
94,小美人鱼,第二代童话型号之一，为女神部队的新一代机型。 因为名字太长，所以周遭的人都称她为【赛莲】。 莱彻第一,3,技巧型,SKL+/ATK+,20,11,5,7,6,2.8,3.0,2.2,3.2,2.5,297,308,222,323,253
95,尼夫,尼夫 lv160 隶属于无极限部队，四处寻找北极熊的妮姬。 她认为，想要找到北极熊，就必须效仿它的行,4,攻击型,ATK+/SPD+,22,13,5,6,7,3.0,3.5,2.2,2.5,3.0,319,359,222,253,304
96,舒格,"喜欢驾驶机车奔驰的飙车狂。
在咖啡甜心部队负责贩卖加糖咖啡。",3,技巧型,SKL+/SPD+,20,10,5,7,7,2.8,2.8,2.2,3.0,3.0,297,287,222,304,304
97,艾可希雅,"隶属于协议部队的天才骇客。
玩游戏也很有一手，无论什么游戏都要拿第一。",4,防御型,HP+/DEF+,28,10,9,4,4,3.5,2.8,2.8,1.8,1.8,374,287,286,182,182
98,艾德米,"三角部队的老么，军队生活让她变得过于早熟。
喜欢猫咪。",4,攻击型,ATK+/DEF+,26,13,8,5,4,3.4,3.5,3.0,2.2,1.8,362,359,305,222,182
99,艾瑟儿,"科学是为了人类。
为此而不惜进行任何实验的疯狂科学家。
在M.M.R.部队负责生物技术。",4,攻击型,ATK+/SKL+,22,13,5,7,6,3.0,3.5,2.2,3.0,2.5,319,359,222,304,253
100,艾菲涅尔,"滑板技巧达人。
特有的孤傲性格，在青少年群体中席卷众多人气。
隶属于生命补药部队。",4,技巧型,SKL+/ATK+,22,12,6,8,6,3.0,3.2,2.5,3.5,2.5,319,328,253,354,253
101,芙罗拉,"隶属于植物园部队的妮姬。负责在方舟内侍弄花园里的花草。
她会帮花园里的花草取名，和它们对话，用自己的",3,速度型,SPD+/ATK+,20,11,5,6,8,2.8,3.0,2.2,2.5,3.2,297,308,222,253,324
102,茨瓦伊,M.M.R. 附属高中的模范生，个性认真沉稳。因为目前还没有称得上梦想的事，所以一直在自己所处的环境,4,速度型,SPD+/SKL+,20,10,5,6,8,2.8,2.8,2.2,2.8,3.5,297,287,222,283,354
103,莉贝雷利奥,"令人联想到寂静深海的异端者。
具备出色的搜索和探测能力。
或许正是因为这种能力，她对声音异常敏感，极",3,技巧型,SKL+/ATK+,20,11,5,7,6,2.8,3.0,2.2,3.2,2.5,297,308,222,323,253
104,莫莉,来自米西利斯，隶属于孵化器部队的妮姬。 因为没有出色的能力，原隶属于量产型的部队，之后受到惩罚被赶到,4,攻击型,ATK+/SKL+,22,13,5,7,6,3.2,3.6,2.2,3.0,2.5,338,369,222,304,253
105,莱昂纳,管理方舟内动物的部队一快乐动物园部队所属妮姬。负责管理狮子、老虎等猛兽。和名为媞美的胆小鬼狮子是绝无,4,防御型,HP+/DEF+,26,10,8,5,4,3.2,2.8,3.0,2.2,1.8,342,287,305,222,182
106,蒂亚,"隶属于毕业班耀眼珍珠部队的妮姬。
为甜点保持最赤诚之心的美食家。
她的梦想是有一天能亲眼见到龙，并许",4,攻击型,ATK+/SPD+,22,13,5,6,7,3.0,3.5,2.2,2.5,3.0,319,359,222,253,304
107,蕾贝儿,"她与潘托姆一同在方舟图书馆担任图书管理员。
长期不愈的妄想症与阴沉的性格，迫使她与人保持距离，但她其",4,速度型,SPD+/SKL+,20,10,5,6,8,2.8,2.8,2.2,2.8,3.5,297,287,222,283,354
108,诺亚尔,"隶属于777部队的妮姬，同时也是金币之战的招牌明星。
与白色兔女郎布兰儿是双胞胎姐妹，诺亚尔是两人中",4,攻击型,ATK+/DEF+,26,13,7,5,5,3.4,3.6,2.8,2.2,2.0,362,369,284,222,203
109,露姬,她不仅是隶属于777部队的妮姬，也是金币之战里的游戏荷官，平实的她亲切又能干，但有一点小迷信。一旦触,3,技巧型,SKL+/ATK+,20,11,5,7,6,2.8,3.0,2.2,3.2,2.5,297,308,222,323,253
110,露菲,"性格开朗的的购物狂。为了宣传购物的快乐，经营上线购物网站及电视购物频道。


达兰特部队的人气偶像",3,速度型,SPD+/ATK+,20,11,5,5,8,2.8,3.0,2.2,2.2,3.2,297,308,222,222,324
111,饼干,"她是隶属于管理方舟内动物的部队——快乐动物园部队的妮姬。
因为具备和动物沟通的能力，理所当然地负起",4,攻击型,ATK+/SKL+,22,13,5,7,6,3.0,3.5,2.2,3.0,2.5,319,359,222,304,253
112,马斯特,因为小时候看了名为《神鬼海盗》的电影，而对大海产生无限向往的少女。虽然她想成为海盗，然而方舟里只有海,3,技巧型,SKL+/SPD+,20,10,5,7,7,2.8,2.8,2.2,3.0,3.0,297,287,222,304,304
113,鲁德米拉,"隶属于无极限部队的妮姬，驻扎在寒冷的北方地带营救迷路的妮姬们。
但她所接触的机械全都会……",5,攻击型,ATK+/DEF+,26,14,7,5,5,3.5,3.8,2.8,2.2,2.0,372,390,284,222,203
114,鲁玛妮,"隶属于生命补药部队的妮姬。负责提升人类的肌肉力量，塑造健康的体魄。简单来说，就是健身教练。
作为大型",3,平衡型,无,20,10,6,5,5,2.8,2.8,2.5,2.2,2.2,297,287,253,222,222
115,麦斯威尔,麦斯威尔 lv200 喜欢机械与知识的天才研究员。 机智，理性，还会制作武器的她，担任墨提斯部队的军,4,攻击型,ATK+/SPD+,22,12,5,6,7,3.0,3.4,2.2,2.5,3.0,319,348,222,253,304
116,零,零 lv200 全名：绫波丽。福音战士零号机驾驶员。 沉默寡言的少女，喜怒不形于色，常让人有种「人造,4,防御型,HP+/DEF+,28,10,9,4,4,3.5,2.8,2.8,1.8,1.8,374,287,286,182,182
117,索达,"脸上永远挂着阳光般的笑容，她是专属女仆部队专门负责家务的女仆。
即使偶尔会出现一点小小的失误，不过",5,攻击型,ATK+/SKL+,24,14,6,7,6,3.4,3.8,2.5,3.0,2.5,360,390,253,304,253
118,樱,"全名：铃原樱。
是葛城美里领导的组织「WILLE」的少尉兼医务官。
虽然性格温和，但在紧急情况下",3,技巧型,SKL+/ATK+,20,11,5,7,6,2.8,3.0,2.2,3.2,2.5,297,308,222,323,253
119,毒蛇,"外来者部队的军师。
凭藉三寸不烂之舌和美色，将外缘区的所有人都玩弄于股掌之中。",3,速度型,SPD+/SKL+,20,10,5,6,8,2.8,2.8,2.2,2.8,3.5,297,287,222,283,354
